code,branch_id,date,amount,description,transaction_type,from_cash_type_id,to_cash_type_id,account_type_id,dk
TKK0001,1,2024-05-21,130425 ,Domain kampunginggrisbooster.com,Pengeluaran,4,,11,K
TKK0002,1,2024-05-21,160505 ,Aplikasi pendukung 1thn,Pengeluaran,4,,11,K
TKK0003,1,2024-05-21,92200 ,2 Akun Instagram Lawas + 1 Twitter,Pengeluaran,4,,11,K
TKK0004,1,2024-05-24,33000 ,Canva Pro 1tahun,Pengeluaran,4,,11,K
TKK0005,1,2024-05-25,200744 ,Sosmed Optimalisasi,Pengeluaran,4,,11,K
TKK0006,1,2024-05-27,45159 ,SEO Tools,Pengeluaran,4,,11,K
TKK0007,1,2024-05-29,333466 ,Domain englishboosterofficial.com,Pengeluaran,4,,11,K
TKK0008,1,2024-06-03,20000 ,Kartu Perdana,Pengeluaran,4,,11,K
TKK0009,1,2024-06-05,63000 ,Akun Meta,Pengeluaran,4,,11,K
TKK0010,1,2024-06-06,253000 ,Artikel SEO,Pengeluaran,4,,11,K
TKK0011,1,2024-06-07,101000 ,Keyboard Macbook,Pengeluaran,4,,11,K
TKK0012,1,2024-06-07,50000 ,Aktivasi rekening BRI,Pengeluaran,4,,11,K
TKK0013,1,2024-06-09,30000 ,Ujicoba Payment Gateway,Pengeluaran,4,,11,K
TKK0014,1,2024-06-09,198000 ,Jasa DA PA 30,Pengeluaran,4,,11,K
TKK0015,1,2024-06-10,10000 ,Ujicoba Payment Gateway,Pengeluaran,4,,11,K
TKK0016,1,2024-06-19,101000 ,Pulsa 1,Pengeluaran,4,,11,K
TKK0017,1,2024-06-19,50500 ,Pulsa 2,Pengeluaran,4,,11,K
TKK0018,1,2024-06-23,40000 ,Pulsa M3,Pengeluaran,4,,11,K
TKK0019,1,2024-06-24,30000 ,Ongkir kaos beasiswa testimoni,Pengeluaran,4,,11,K
TKK0020,1,2024-06-24,598014 ,Server TOEFL,Pengeluaran,4,,11,K
TKK0021,1,2024-06-24,14500 ,Lakban dan Cutter,Pengeluaran,4,,11,K
TKK0022,1,2024-07-09,38000 ,Canva Pro 1tahun,Pengeluaran,4,,11,K
TKK0023,1,2024-07-20,40000 ,Pulsa,Pengeluaran,4,,11,K
TKK0024,1,2024-07-30,30525 ,Pembelian Domain kampunginggris.xyz,Pengeluaran,4,,11,K
TKK0025,1,2024-08-03,176705 ,Cetak Brosur,Pengeluaran,4,,11,K
TKK0026,1,2024-08-09,251200 ,Cetak Banner,Pengeluaran,4,,11,K
TKK0027,1,2024-08-10,50000 ,Pak Arif,Pengeluaran,4,,11,K
TKK0028,1,2024-08-11,155000 ,Pembelian jasa PBN 3 tier,Pengeluaran,4,,11,K
TKK0029,1,2024-08-11,77000 ,Pembelian blog zombie,Pengeluaran,4,,11,K
